w,Operational,Kutir,Cluster,State,Tehsil,District,Block,Inauguration,Type of Kutir,Tribes,Close Date
1115,1098,Gaman Faliya Pipliyawat,,M.P,Sondwa,Alirajpur,Sondwa,28-January-2026,Study Center,,
1116,1099,Kanesh Faliya Kanthari,,M.P,Sondwa,Alirajpur,Sondwa,28-January-2026,Study Center,,
1117,1100,Lakhadeh,Bansipura,M.P,Rahatgaon,Harda,Timarni,28-January-2026,Study Center,"Korku, Gond (ST) & Gawali (OBC) ",
1118,1101,Indrapura,Bansipura,M.P,Rahatgaon,Harda,Timarni,28-January-2026,Study Center,Korku (ST) & Yadav (OBC),
1119,1102,Bobada,Bansipura,M.P,Rahatgaon,Harda,Timarni,28-January-2026,Study Center,"Korku, Nahal (ST) & Yadav (OBC)",
1120,1103,Bansipura,Bansipura,M.P,Rahatgaon,Harda,Timarni,28-January-2026,Study Center,Korku (ST),
1121,1104,Ruthubarra,Bansipura,M.P,Rahatgaon,Harda,Timarni,28-January-2026,Study Center,"Korku, Nahal (ST), Lohar (SC) & Yadav (OBC)",
1122,1105,Kundali,Rupapada,M.P,Petlawad,Jhabua,Petlawad,29-January-2026,Study Center,Bhil (ST),
1123,1106,Junapani,Narsinghpura,M.P,Petlawad,Jhabua,Petlawad,29-January-2026,Study Center,Bhil (ST),
1124,1107,Bhaktiya,Rupapada,M.P,Petlawad,Jhabua,Petlawad,29-January-2026,Study Center,Bhil (ST),
1125,1108,Bapcha,Bansipura,M.P,Rahatgaon,Harda,Timarni,30-January-2026,Study Center,Korku (ST) & Yadav (OBC),
1126,1109,Churni,Bansipura,M.P,Rahatgaon,Harda,Timarni,30-January-2026,Study Center,Korku (ST) & Yadav (OBC),
1127,1110,Bandhapara,Badikhar,C.G,Gaurela,Gaurela-Pendra-Marwahi,Gaurela,30-January-2026,Study Center,Gond (ST) & Yadav (OBC),
1128,1111,Kalmi Tikra,Badikhar,C.G,Gaurela,Gaurela-Pendra-Marwahi,Gaurela,30-January-2026,Study Center,"Bhaina, Kanvar (ST), Yadav, Panika & Kewat (OBC)",
1129,1112,Badikhar,Badikhar,C.G,Gaurela,Gaurela-Pendra-Marwahi,Gaurela,30-January-2026,Study Center,Gond & Bhariya (ST),
1130,1113,Kartik Para,Badikhar,C.G,Gaurela,Gaurela-Pendra-Marwahi,Gaurela,30-January-2026,Study Center,Bhaina (ST) & Yadav (OBC),
1131,1114,Baldhar,Dhanoli,C.G,Gaurela,Gaurela-Pendra-Marwahi,Gaurela,31-January-2026,Study Center,Kol (ST) & Soni (OBC),
1132,1115,Dongritola 2,Dhanoli,C.G,Gaurela,Gaurela-Pendra-Marwahi,Gaurela,31-January-2026,Study Center,"Gond, Kol (ST) & Kushwaha (OBC)",
1133,1116,Gangradhana,Mahukhal,M.P,Rahatgaon,Harda,Timarni,1-February-2026,Study Center,Korku & Gond (ST),
1134,1117,Kayari,Mahukhal,M.P,Rahatgaon,Harda,Timarni,1-February-2026,Study Center,"Korku, Gond (ST) & Yadav (OBC)",
1135,1118,Maalkheda,,M.P,Bhagwanpura,Khargone,Bhagwanpura,3-February-2026,Study Center,,
1136,1119,Hariyajheel,,M.P,Bhagwanpura,Khargone,Bhagwanpura,3-February-2026,Study Center,,
1137,1120,Pidee Jamali,,M.P,Jhirniya,Khargone,Jhirniya,3-February-2026,Study Center,,
1138,1121,Budkimaal,,M.P,Jhirniya,Khargone,Jhirniya,3-February-2026,Study Center,,
1139,1122,Mannasa,Mahukhal,M.P,Rahatgaon,Harda,Timarni,3-February-2026,Study Center,Gond (ST),
1140,1123,Aamba,Mahukhal,M.P,Rahatgaon,Harda,Timarni,3-February-2026,Study Center,"Gond, Korku (ST) & Yadav (OBC)",
1141,1124,Bothi,Mahukhal,M.P,Rahatgaon,Harda,Timarni,3-February-2026,Study Center,Korku & Gond (ST),
1142,1125,Singoda,Bansipura,M.P,Rahatgaon,Harda,Timarni,3-February-2026,Study Center,"Gond, Korku (ST) & Yadav (OBC)",
1143,1126,Mahukhal,Mahukhal,M.P,Rahatgaon,Harda,Timarni,3-February-2026,Study Center,"Gond, Korku (ST) & Yadav (OBC)",
1144,1127,Gorakhal,Mahukhal,M.P,Rahatgaon,Harda,Timarni,4-February-2026,Study Center,"Gond, Korku (ST) & Yadav (OBC)",
1145,1128,Haranmaal,,M.P,Jhirniya,Khargone,Jhirniya,9-February-2026,Study Center,,
1146,1129,Khudri,,M.P,Ghansaur,Seoni,Ghansaur,10-February-2026,Study Center,,
1147,1130,Gangpur,,M.P,Ghansaur,Seoni,Ghansaur,16-February-2026,Study Center,,
1148,1131,Japtipada,,M.P,Petlawad,Jhabua,Petlawad,17-February-2026,Study Center,,
1149,1132,Navapada,,M.P,Petlawad,Jhabua,Petlawad,17-February-2026,Study Center,,
1150,1133,Sukhneda,,M.P,Petlawad,Jhabua,Petlawad,17-February-2026,Study Center,,
1151,1134,Singarpur,,M.P,Ghansaur,Seoni,Ghansaur,18-February-2026,Study Center,,
1152,1135,Chhindwaha,,M.P,Ghansaur,Seoni,Ghansaur,18-February-2026,Study Center,,
1153,1136,Roto,,M.P,Ghansaur,Seoni,Ghansaur,18-February-2026,Study Center,,
1154,1137,Thagosa,,M.P,Pohari,Shivpuri,Pohari,25-February-2026,Study Center,,
1155,1138,Devgarh,,M.P,Pohari,Shivpuri,Pohari,25-February-2026,Study Center,,
1156,1139,Sad,,M.P,Pohari,Shivpuri,Pohari,25-February-2026,Study Center,,
1157,1140,Beharda,,M.P,Pohari,Shivpuri,Pohari,25-February-2026,Study Center,,
1158,1141,Dargawan,,M.P,Pohari,Shivpuri,Pohari,25-February-2026,Study Center,,
1159,1142,Devpura,,M.P,Pohari,Shivpuri,Pohari,25-February-2026,Study Center,,
1160,1143,Raiyan,,M.P,Pohari,Shivpuri,Pohari,25-February-2026,Study Center,,
1161,1144,Kaimai,,M.P,Pohari,Shivpuri,Pohari,25-February-2026,Study Center,,
1162,1145,Raghunathpura,,M.P,Pohari,Shivpuri,Pohari,25-February-2026,Study Center,,
1163,1146,Balrampura,,M.P,Pohari,Shivpuri,Pohari,25-February-2026,Study Center,,
1164,1147,Dhuma Mal,,M.P,Ghansaur,Seoni,Ghansaur,26-February-2026,Study Center,,
1165,1148,Surlibai Faliya,,M.P,Nepanagar,Burhanpur,Nepanagar,9-March-2026,Study Center,,
1166,1149,Maal Faliya,,M.P,Nepanagar,Burhanpur,Nepanagar,9-March-2026,Study Center,,
1167,1150,Gadhi,,M.P,Nepanagar,Burhanpur,Nepanagar,10-March-2026,Study Center,,
1168,1151,Ambakheda,,M.P,Nepanagar,Burhanpur,Nepanagar,10-March-2026,Study Center,,
1169,1152,Pipal Faliya,,M.P,Nepanagar,Burhanpur,Nepanagar,10-March-2026,Study Center,,
1170,1153,Phuldhavdi,,M.P,Nepanagar,Burhanpur,Nepanagar,10-March-2026,Study Center,,
