w,Operational,Kutir,Cluster,State,Tehsil,District,Block,Inauguration,Type of Kutir,Tribes,Close Date
869,852,Agariyapara,Keonchi,C.G,Gaurela,Gaurela-Pendra-Marwahi,Gaurela,9-Apr-2025,Study Center,"Baiga, Gond & Agariya (ST)  ",
870,853,Baigapara,Keonchi,C.G,Gaurela,Gaurela-Pendra-Marwahi,Gaurela,9-Apr-2025,Study Center,Baiga (ST),
871,854,Patpari,Keonchi,C.G,Gaurela,Gaurela-Pendra-Marwahi,Gaurela,10-Apr-2025,Study Center,"Baiga, Gond & Uranv (ST) ",
872,855,Uranvpara,Keonchi,C.G,Gaurela,Gaurela-Pendra-Marwahi,Gaurela,10-Apr-2025,Study Center,"Baiga, Gond, Uranv, Agariya (ST)  & Kumhar (OBC)",
873,856,Jhaprahva,Jhaprahva,M.P,Chitrangi,Singrauli,Chitrangi,16-Apr-2025,Study Center,Gond (ST),
874,857,Harijan Basti,Jhaprahva,M.P,Chitrangi,Singrauli,Chitrangi,16-Apr-2025,Study Center,"Baiga,Gond ,Agariya & Khairwar (ST), Saket (SC) &  Gurjar, Jaisawal (OBC)",
875,858,Komo,Bondari,M.P,Birsa,Balaghat,Birsa,16-Apr-2025,Study Center,Baiga (ST),
876,859,Ranjana,Bondari,M.P,Birsa,Balaghat,Birsa,17-Apr-2025,Study Center,Baiga (ST),
877,860,Laliyabodar,Piprahwa,M.P,Chitrangi,Singrauli,Chitrangi,17-Apr-2025,Study Center,"Gond, Panika & Khairwar (ST)",
878,861,Ajagudh,Piprahwa,M.P,Chitrangi,Singrauli,Chitrangi,17-Apr-2025,Study Center,"Baiga, Gond, Panika, Khairwar, Kol, Agariya (ST), Saket, Prajapati (SC) & Yadav, Bais (OBC)",
879,862,Pateree,Piprahwa,M.P,Chitrangi,Singrauli,Chitrangi,17-Apr-2025,Study Center,"Gond, Baiga (ST), Prajapati (SC) & Yadav (OBC)",
880,863,Najar Pahri,Jhaprahva,M.P,Chitrangi,Singrauli,Chitrangi,22-Apr-2025,Study Center,Khairwar (ST),
881,864,Bodrahawa,Jhaprahva,M.P,Chitrangi,Singrauli,Chitrangi,22-Apr-2025,Study Center,"Baiga, Gond, Agariya, Khairwar(ST), Saket (SC) & Gurjar, Yadav(OBC)",
882,865,Dharmashala,Bondari,M.P,Birsa,Balaghat,Birsa,17-Apr-2025,Study Center,Baiga (ST),
883,866,Gadhiya,Bondari,M.P,Birsa,Balaghat,Birsa,17-Apr-2025,Study Center,Baiga (ST),
884,867,Rooppura,Semliya,M.P,Bajna,Ratlam,Bajna,26-Apr-2025,Study Center,Bhil (ST),
885,868,Kheerpur,Semliya,M.P,Bajna,Ratlam,Bajna,26-Apr-2025,Study Center,Bhil (ST),
886,869,Kodbirkona,Murum,M.P,Birsa,Balaghat,Birsa,28-Apr-2025,Study Center,Baiga (ST),
887,870,Maliya,Murum,M.P,Birsa,Balaghat,Birsa,28-Apr-2025,Study Center,Baiga (ST),
888,871,Kagalkho,Mathmath,M.P,Petlawad,Jhabua,Petlawad,28-Apr-2025,Shiksha Kutir,Bhil (ST),
889,872,Devgarh,Mathmath,M.P,Petlawad,Jhabua,Petlawad,28-Apr-2025,Shiksha Kutir,Bhil (ST),
890,873,Tenduha,Jhaprahva,M.P,Chitrangi,Singrauli,Chitrangi,28-Apr-2025,Study Center,"Gond, Baiga & Panika (ST)",
891,874,Bodihar,Piprahwa,M.P,Chitrangi,Singrauli,Chitrangi,28-Apr-2025,Study Center,"Baiga, Gond (ST),  Yadav, Jaiswal(OBC) & Brahman (General)
",
892,875,Sindhar,Jhaprahva,M.P,Chitrangi,Singrauli,Chitrangi,29-Apr-2025,Study Center,"Gond, Baiga, Panika, Khairwar, Agariya (ST), Saket (SC), Gurjar, Jaiswal (OBC) & Brahman (General)
",
893,876,Jamtihva,Jhaprahva,M.P,Chitrangi,Singrauli,Chitrangi,29-Apr-2025,Study Center,"Gond, Agariya (ST)  & Saket (SC)
",
894,877,Sinduriya Tola,Suda,M.P,Chitrangi,Singrauli,Chitrangi,30-Apr-2025,Study Center,"Gond, Baiga, Panika, Pathari (ST), Prajapati (SC) & Yadav, Nai, Jaiswal (OBC) 
",
895,878,Semari,Narsinghpura,M.P,Petlawad,Jhabua,Petlawad,1-May-2025,Shiksha Kutir,Bhil (ST),
896,879,Kheda,Narsinghpura,M.P,Petlawad,Jhabua,Petlawad,1-May-2025,Shiksha Kutir,Bhil (ST),
